100 2460
1 3 34
1 5 22
1 12 68
1 14 35
1 15 99
1 16 81                                                        
1 17 17
1 18 13
1 21 41
1 22 49
1 23 27
1 27 85
1 29 46
1 30 47
1 31 98
1 33 23
1 34 53
1 35 34
1 36 78
1 40 66
1 41 14
1 42 41
1 43 38
1 45 12
1 48 44
1 49 20
1 52 9
1 57 22
1 58 56
1 59 6
1 60 58
1 61 10
1 64 72
1 66 82
1 68 36
1 71 97
1 72 54
1 73 17
1 78 62
1 79 73
1 80 99
1 83 77
1 84 11
1 85 27
1 86 92
1 88 53
1 89 63
1 90 84
1 93 33
1 94 40
1 96 62
1 99 48
2 3 12
2 8 96
2 9 70
2 10 50
2 12 69
2 19 1
2 20 8
2 21 90
2 22 49
2 23 1
2 25 65
2 27 42
2 28 26
2 29 31
2 30 34
2 36 98
2 37 31
2 38 67
2 42 3
2 44 53
2 47 73
2 51 97
2 53 41
2 54 44
2 55 72
2 58 8
2 59 1
2 60 61
2 63 40
2 64 51
2 66 46
2 68 79
2 69 7
2 70 99
2 71 84
2 72 72
2 73 48
2 81 44
2 82 49
2 85 2
2 90 74
2 91 22
2 93 98
2 94 27
2 95 47
2 97 4
2 98 56
2 99 44
3 4 71
3 5 37
3 6 80
3 8 79
3 9 86
3 10 60
3 14 21
3 15 80
3 17 16
3 18 65
3 19 66
3 21 33
3 22 10
3 23 72
3 24 30
3 26 35
3 28 58
3 29 46
3 30 84
3 31 24
3 33 3
3 34 1
3 35 73
3 36 37
3 41 38
3 43 64
3 45 18
3 46 36
3 47 27
3 48 56
3 49 42
3 50 18
3 51 83
3 53 68
3 55 12
3 59 16
3 62 44
3 65 24
3 67 37
3 70 23
3 72 74
3 73 63
3 74 47
3 76 54
3 77 84
3 78 94
3 79 3
3 81 56
3 82 48
3 84 88
3 87 59
3 89 43
3 92 51
3 93 72
3 94 71
3 97 32
3 100 14
4 8 74
4 10 44
4 12 73
4 13 95
4 16 56
4 17 53
4 18 27
4 20 95
4 21 8
4 27 77
4 31 84
4 34 99
4 36 58
4 38 35
4 39 16
4 41 88
4 42 25
4 43 4
4 46 99
4 47 52
4 48 95
4 50 83
4 53 17
4 55 55
4 57 99
4 58 53
4 59 40
4 60 25
4 62 95
4 64 76
4 66 7
4 68 83
4 69 34
4 71 75
4 73 39
4 79 83
4 81 100
4 86 29
4 87 62
4 88 22
4 89 62
4 94 20
4 99 81
4 100 90
5 7 2
5 8 98
5 13 38
5 17 82
5 19 22
5 21 68
5 23 33
5 24 59
5 26 94
5 28 84
5 29 79
5 30 39
5 34 55
5 37 50
5 38 12
5 41 34
5 43 2
5 44 72
5 45 69
5 48 55
5 49 90
5 51 2
5 53 83
5 54 5
5 55 64
5 56 27
5 57 81
5 58 92
5 59 10
5 61 66
5 63 77
5 64 100
5 66 91
5 67 21
5 68 1
5 71 43
5 74 41
5 77 55
5 82 82
5 83 68
5 87 17
5 88 100
5 91 10
5 92 99
5 95 78
5 97 36
5 99 7
6 7 6
6 8 42
6 10 52
6 11 78
6 13 47
6 14 73
6 15 43
6 16 2
6 17 2
6 18 59
6 19 52
6 20 98
6 21 29
6 23 20
6 24 83
6 28 33
6 36 44
6 38 79
6 39 87
6 41 39
6 45 35
6 46 25
6 47 76
6 48 74
6 50 37
6 51 17
6 52 49
6 53 60
6 54 52
6 57 35
6 60 73
6 61 51
6 68 40
6 69 92
6 70 27
6 71 90
6 73 46
6 74 43
6 75 1
6 80 82
6 81 94
6 84 31
6 88 25
6 89 100
6 90 21
6 91 26
6 93 97
6 94 49
6 96 40
6 97 18
6 100 91
7 12 10
7 14 25
7 15 78
7 18 15
7 20 72
7 22 96
7 24 51
7 31 69
7 32 34
7 34 79
7 35 79
7 36 42
7 37 79
7 38 66
7 40 42
7 43 79
7 45 49
7 46 72
7 47 43
7 48 9
7 49 91
7 50 75
7 53 91
7 54 1
7 57 17
7 58 49
7 61 25
7 64 56
7 66 72
7 67 86
7 68 31
7 71 25
7 73 39
7 74 80
7 75 24
7 76 3
7 77 89
7 81 31
7 83 84
7 84 73
7 88 42
7 89 72
7 90 43
7 93 68
7 95 67
7 97 28
7 98 9
7 99 67
7 100 75
8 10 49
8 12 96
8 14 40
8 20 7
8 21 84
8 22 12
8 29 28
8 30 45
8 31 58
8 32 4
8 34 87
8 35 43
8 40 73
8 43 34
8 44 13
8 47 35
8 48 23
8 49 91
8 50 92
8 51 89
8 52 28
8 56 20
8 58 85
8 60 3
8 62 65
8 65 51
8 66 46
8 67 26
8 68 95
8 69 57
8 71 83
8 73 25
8 76 1
8 77 19
8 79 45
8 81 59
8 82 1
8 83 63
8 85 34
8 86 89
8 90 3
8 91 42
8 92 86
8 93 16
8 94 90
9 10 47
9 12 68
9 14 58
9 16 21
9 17 64
9 19 61
9 25 42
9 27 60
9 28 52
9 29 18
9 30 58
9 35 48
9 38 35
9 41 43
9 42 60
9 44 42
9 45 69
9 46 1
9 51 53
9 52 36
9 53 47
9 54 35
9 55 2
9 57 3
9 59 72
9 60 88
9 61 8
9 63 6
9 66 6
9 67 59
9 68 71
9 71 36
9 72 66
9 74 97
9 76 84
9 77 17
9 80 92
9 81 17
9 84 99
9 87 43
9 90 90
9 91 78
9 92 74
9 93 44
9 95 71
9 96 35
9 98 34
9 99 30
9 100 46
10 14 93
10 17 14
10 20 20
10 21 13
10 22 7
10 24 64
10 25 52
10 26 97
10 29 85
10 30 74
10 35 34
10 39 48
10 41 77
10 42 73
10 43 100
10 45 62
10 46 41
10 48 11
10 49 83
10 53 98
10 55 33
10 56 38
10 57 48
10 59 86
10 60 58
10 61 92
10 62 4
10 63 70
10 67 46
10 68 64
10 69 65
10 70 81
10 71 28
10 75 13
10 76 65
10 78 3
10 81 65
10 84 77
10 85 14
10 90 10
10 91 34
10 92 33
10 93 69
10 94 16
10 96 96
10 99 46
11 13 82
11 14 82
11 16 43
11 18 40
11 20 95
11 25 76
11 28 60
11 29 16
11 30 29
11 31 15
11 32 50
11 33 66
11 35 28
11 36 52
11 37 55
11 38 20
11 39 90
11 40 35
11 41 30
11 42 80
11 43 76
11 44 71
11 45 70
11 46 49
11 47 37
11 56 42
11 59 48
11 62 46
11 64 58
11 66 54
11 68 57
11 69 25
11 73 42
11 74 75
11 75 4
11 78 53
11 80 5
11 82 90
11 83 65
11 84 9
11 85 99
11 86 36
11 87 54
11 89 47
11 94 24
11 95 86
11 100 39
12 17 38
12 18 99
12 19 69
12 20 13
12 21 33
12 22 19
12 24 31
12 25 11
12 26 62
12 28 81
12 30 26
12 31 4
12 32 19
12 33 9
12 35 58
12 39 94
12 40 36
12 41 78
12 43 61
12 45 4
12 47 78
12 49 88
12 50 5
12 54 56
12 57 10
12 59 71
12 60 85
12 62 15
12 66 92
12 67 20
12 69 75
12 75 96
12 76 49
12 78 32
12 80 62
12 82 75
12 85 80
12 87 35
12 88 1
12 90 83
12 91 16
12 92 29
12 93 78
12 94 90
12 96 49
12 100 81
13 15 100
13 20 2
13 22 93
13 23 63
13 26 7
13 27 70
13 32 16
13 33 32
13 37 42
13 42 19
13 43 5
13 44 30
13 47 76
13 48 72
13 54 24
13 56 4
13 58 42
13 59 4
13 61 35
13 63 50
13 65 69
13 70 58
13 71 68
13 72 12
13 73 44
13 74 19
13 75 74
13 76 78
13 77 7
13 81 31
13 84 27
13 87 50
13 88 48
13 90 23
13 91 6
13 94 93
13 96 21
13 97 95
14 15 56
14 16 91
14 19 35
14 25 98
14 28 73
14 30 87
14 31 92
14 32 1
14 34 71
14 35 85
14 36 69
14 46 70
14 48 34
14 49 63
14 50 21
14 51 43
14 52 90
14 55 38
14 58 13
14 60 89
14 63 32
14 67 94
14 69 53
14 70 55
14 72 86
14 73 79
14 74 53
14 77 94
14 78 100
14 81 75
14 82 91
14 84 75
14 86 90
14 90 6
14 96 48
14 99 87
14 100 60
15 16 1
15 17 71
15 19 96
15 20 90
15 21 9
15 23 72
15 24 98
15 26 12
15 33 50
15 34 96
15 37 88
15 39 69
15 40 1
15 42 14
15 43 9
15 44 35
15 45 97
15 48 79
15 49 35
15 54 24
15 55 20
15 56 17
15 57 18
15 58 27
15 59 24
15 60 61
15 65 82
15 68 73
15 70 1
15 71 97
15 72 64
15 76 31
15 78 68
15 80 6
15 81 15
15 82 68
15 85 65
15 86 18
15 89 78
15 90 10
15 91 27
15 93 67
15 94 36
15 95 42
15 98 12
15 99 64
15 100 24
16 17 59
16 19 2
16 20 30
16 22 74
16 24 24
16 25 27
16 26 61
16 27 41
16 28 28
16 31 19
16 34 96
16 39 79
16 42 21
16 44 72
16 45 20
16 47 3
16 50 45
16 51 17
16 54 29
16 57 48
16 58 85
16 60 13
16 65 95
16 66 90
16 67 60
16 68 72
16 69 30
16 70 21
16 72 76
16 76 21
16 78 68
16 79 70
16 80 17
16 81 40
16 83 39
16 84 93
16 86 8
16 89 22
16 90 32
16 92 67
16 93 67
16 96 50
16 100 9
17 23 3
17 26 52
17 27 64
17 28 1
17 30 87
17 31 57
17 33 1
17 36 55
17 37 86
17 40 96
17 42 80
17 43 30
17 44 8
17 45 27
17 48 49
17 49 65
17 50 12
17 52 77
17 53 7
17 56 60
17 59 50
17 61 88
17 62 74
17 63 7
17 66 25
17 67 48
17 69 88
17 75 67
17 76 50
17 77 27
17 78 35
17 80 50
17 82 40
17 83 36
17 84 21
17 85 66
17 86 39
17 87 17
17 98 10
17 99 69
18 19 14
18 21 35
18 22 86
18 23 13
18 24 75
18 25 43
18 26 70
18 27 74
18 29 59
18 33 100
18 36 45
18 37 55
18 38 18
18 42 85
18 44 19
18 51 36
18 54 44
18 55 58
18 56 15
18 57 24
18 59 43
18 61 79
18 66 20
18 67 49
18 69 71
18 70 61
18 71 89
18 74 36
18 75 26
18 76 88
18 77 67
18 82 24
18 83 62
18 84 34
18 89 52
18 95 30
18 97 88
18 98 61
18 99 5
19 22 96
19 24 32
19 27 52
19 30 83
19 32 21
19 34 9
19 35 11
19 37 24
19 38 93
19 39 96
19 48 78
19 49 84
19 53 30
19 56 42
19 57 87
19 58 82
19 59 31
19 60 81
19 61 1
19 62 5
19 67 41
19 69 82
19 73 76
19 76 93
19 80 58
19 81 43
19 83 43
19 84 38
19 85 98
19 86 2
19 90 23
19 91 10
19 92 44
19 93 78
19 96 79
19 97 79
19 98 45
19 99 86
20 22 26
20 28 15
20 30 9
20 31 89
20 34 22
20 35 24
20 36 32
20 40 34
20 43 41
20 44 94
20 45 73
20 49 91
20 50 85
20 53 16
20 54 13
20 56 39
20 57 30
20 60 12
20 61 60
20 63 66
20 65 16
20 71 58
20 73 8
20 76 71
20 77 49
20 78 1
20 84 14
20 86 96
20 87 10
20 88 80
20 89 19
20 90 2
20 94 23
20 98 18
20 99 94
21 23 84
21 24 18
21 27 39
21 28 7
21 29 82
21 30 54
21 31 32
21 32 90
21 36 76
21 37 44
21 38 3
21 39 100
21 40 88
21 41 4
21 46 42
21 47 35
21 49 84
21 51 6
21 54 68
21 56 17
21 57 17
21 67 68
21 71 43
21 75 22
21 76 96
21 77 85
21 80 46
21 82 43
21 83 33
21 84 53
21 85 88
21 87 27
21 92 28
21 94 5
21 95 60
21 99 57
22 25 17
22 27 27
22 29 35
22 31 8
22 32 68
22 34 26
22 35 66
22 36 25
22 38 85
22 40 47
22 41 4
22 42 100
22 46 41
22 47 91
22 48 87
22 50 16
22 53 89
